Name,Input Size,#Blocks,Block Size,Branch Factor,Depth,Skip Depth,LocalSize,GlobalSize
kernel_25600000_32_0_2,25600000,800000,32,2,4,0,16,12800000
kernel_25600000_32_1_2,25600000,800000,32,2,3,1,8,6400000
kernel_25600000_32_2_2,25600000,800000,32,2,2,2,4,3200000
kernel_25600000_32_3_2,25600000,800000,32,2,1,3,2,1600000
kernel_25600000_32_4_2,25600000,800000,32,2,0,4,1,800000
kernel_25600000_64_0_2,25600000,400000,64,2,5,0,32,12800000
kernel_25600000_64_1_2,25600000,400000,64,2,4,1,16,6400000
kernel_25600000_64_2_2,25600000,400000,64,2,3,2,8,3200000
kernel_25600000_64_3_2,25600000,400000,64,2,2,3,4,1600000
kernel_25600000_64_4_2,25600000,400000,64,2,1,4,2,800000
kernel_25600000_128_0_2,25600000,200000,128,2,6,0,64,12800000
kernel_25600000_128_1_2,25600000,200000,128,2,5,1,32,6400000
kernel_25600000_128_2_2,25600000,200000,128,2,4,2,16,3200000
kernel_25600000_128_3_2,25600000,200000,128,2,3,3,8,1600000
kernel_25600000_128_4_2,25600000,200000,128,2,2,4,4,800000
kernel_25600000_256_0_2,25600000,100000,256,2,7,0,128,12800000
kernel_25600000_256_1_2,25600000,100000,256,2,6,1,64,6400000
kernel_25600000_256_2_2,25600000,100000,256,2,5,2,32,3200000
kernel_25600000_256_3_2,25600000,100000,256,2,4,3,16,1600000
kernel_25600000_256_4_2,25600000,100000,256,2,3,4,8,800000
kernel_25600000_512_0_2,25600000,50000,512,2,8,0,256,12800000
kernel_25600000_512_1_2,25600000,50000,512,2,7,1,128,6400000
kernel_25600000_512_2_2,25600000,50000,512,2,6,2,64,3200000
kernel_25600000_512_3_2,25600000,50000,512,2,5,3,32,1600000
kernel_25600000_512_4_2,25600000,50000,512,2,4,4,16,800000
